throughput,upload_artificial,,
440.40,100,54.8200,5G
450.91,100,54.5130,5G
440.40,100,56.9850,5G
440.41,100,55.0550,5G
429.89,100,54.2260,5G
450.90,100,54.3530,5G
450.87,100,56.5900,5G
429.94,100,56.2240,5G
450.89,100,55.4950,5G
450.86,100,56.6260,5G
450.91,100,53.6320,5G
440.36,100,54.7410,5G
450.91,100,56.8200,5G
419.43,100,57.2320,5G
419.41,100,55.2330,5G
461.39,100,53.5020,5G
440.42,100,53.3410,5G
450.86,100,56.7160,5G
440.40,100,60.6280,5G
387.97,100,58.5530,5G
419.45,100,54.2200,5G
419.44,100,55.4490,5G
440.40,100,61.8070,5G
419.42,100,62.2340,5G
440.41,100,54.1920,5G
429.89,100,58.8400,5G
419.46,100,58.9670,5G
429.90,100,55.9840,5G
419.44,100,55.4020,5G
440.41,100,54.2910,5G
440.40,100,57.0410,5G
429.91,100,55.8350,5G
440.41,100,54.7090,5G
450.88,100,56.3910,5G
429.90,100,56.6690,5G
429.94,100,55.9810,5G
440.39,100,64.4690,5G
450.89,100,60.5820,5G
450.92,100,52.6590,5G
390.31,100,52.7095,5G
367.00,100,65.2590,5G
293.60,100,57.0620,5G
367.00,100,58.2530,5G
325.07,100,59.2940,5G
367.00,100,58.4000,5G
367.00,100,63.0080,5G
387.97,100,57.5950,5G
377.51,100,57.4810,5G
398.45,100,54.8640,5G
346.04,100,59.9930,5G
335.54,100,66.9390,5G
314.56,100,60.7620,5G
387.98,100,58.3470,5G
398.48,100,58.7510,5G
387.95,100,57.8020,5G
387.97,100,64.1250,5G
387.98,100,56.6670,5G
366.99,100,55.5660,5G
408.97,100,56.3080,5G
387.96,100,56.2530,5G
398.46,100,56.3790,5G
398.44,100,56.9400,5G
408.98,100,60.2570,5G
387.96,100,60.5330,5G
367.01,100,60.8070,5G
377.49,100,59.6730,5G
408.95,100,53.8990,5G
387.96,100,60.0530,5G
398.48,100,55.6160,5G
356.50,100,62.3290,5G
429.92,100,56.6860,5G
387.97,100,71.1910,5G
387.99,100,65.2320,5G
356.51,100,61.8760,5G
387.98,100,63.8060,5G
387.96,100,60.4780,5G
367.00,100,62.4470,5G
377.49,100,62.6010,5G
398.46,100,58.1190,5G
393.20,100,65.5865,5G
408.93,100,58.7900,5G
419.44,100,58.8370,5G
356.51,100,67.0920,5G
387.97,100,67.2550,5G
398.45,100,61.0740,5G
429.94,100,57.6590,5G
408.93,100,60.2250,5G
388.00,100,71.8030,5G
356.51,100,62.6920,5G
376.90,100,59.8590,5G
420.06,100,62.2030,5G
419.44,100,66.1800,5G
387.99,100,66.9660,5G
377.50,100,57.1360,5G
429.88,100,62.5710,5G
408.96,100,61.1600,5G
398.48,100,58.4600,5G
408.94,100,62.8640,5G
408.94,100,62.8600,5G
387.98,100,65.3950,5G
419.44,100,59.1610,5G
408.94,100,58.5980,5G
377.47,100,58.2220,5G
398.48,100,65.4630,5G
398.46,100,75.0010,5G
398.46,100,55.4470,5G
408.94,100,57.9000,5G
398.46,100,64.8470,5G
398.46,100,62.3240,5G
377.49,100,69.9070,5G
398.48,100,65.3110,5G
419.32,100,60.0200,5G
398.55,100,59.5520,5G
408.93,100,58.9150,5G
408.95,100,58.3210,5G
419.43,100,60.6880,5G
408.95,100,61.0600,5G
