time,operator,country,technology,quality,download,upload,rtt
1700591753,telenor,norway,4g,good,21894.694389995762,17733.97072091025,53.99168414151198
1700591759,telenor,norway,4g,good,81350.9966080073,11384.83853895186,226.92422283657564
1700591765,telenor,norway,4g,good,65125.25654360425,18764.306067820875,135.24850854804575
1700591771,telenor,norway,4g,good,69673.59387294794,28657.872352336253,50.182495555608135
1700591777,telenor,norway,4g,good,64620.10692169962,34236.93012181502,121.09801681840352
1700591783,telenor,norway,4g,good,29832.611752210363,24678.9965823799,98.3235295568147
1700591789,telenor,norway,4g,good,19750.487884697846,13810.648700824246,112.51400435786456
1700591795,telenor,norway,4g,good,10547.583056363692,10776.210307257594,135.41431008235446
1700591801,telenor,norway,4g,good,34589.6887121736,21897.075218016453,245.95577748417136
1700591807,telenor,norway,4g,good,73534.4380449845,28268.32747469189,74.9369915594164
1700591813,telenor,norway,4g,good,40964.86919774452,37236.66801985718,71.31810630312499
1700591819,telenor,norway,4g,good,28455.38774468823,26784.06420388974,33.938422283579904
1700591825,telenor,norway,4g,good,75995.9476476286,36400.55899259027,90.69065687598594
1700591831,telenor,norway,4g,good,65211.49828543715,22626.66777309449,108.82947217600825
1700591837,telenor,norway,4g,good,58259.27294757092,13537.045379778692,118.52397103317911
1700591843,telenor,norway,4g,good,20016.367608712037,25017.929535940988,81.76860492164403
1700591849,telenor,norway,4g,good,36134.48222719321,9574.770124294744,105.69819501918263
1700591855,telenor,norway,4g,good,12084.510601329313,7624.376544311822,74.83473504083983
1700591861,telenor,norway,4g,good,18402.220371458476,7445.247461345187,11.627160224183754
1700591867,telenor,norway,4g,good,54320.87154781059,22811.427770987484,108.68857430797419
1700591873,telenor,norway,4g,good,18939.153251932956,22449.612855158553,89.23285702489073
1700591879,telenor,norway,4g,good,44470.14298176345,4786.15870071569,325.5699355658271
1700591885,telenor,norway,4g,good,50342.40502002771,8983.693576826608,129.57308976426708
1700591891,telenor,norway,4g,good,102805.3647924514,32637.97968491555,431.9495024103329
1700591897,telenor,norway,4g,good,39053.682791094885,21694.51999826153,141.75411767474327
1700591903,telenor,norway,4g,good,74599.10179976712,14908.63842156543,143.775134090957
1700591909,telenor,norway,4g,good,71918.78577138488,24085.698610296567,54.06889651775916
1700591915,telenor,norway,4g,good,32032.421724598946,19074.36797476471,149.32966564092175
1700591921,telenor,norway,4g,good,50603.863467118,47696.93450216259,89.0881518931737
1700591927,telenor,norway,4g,good,40719.22311597739,27490.696782825155,85.59418622711942
1700591933,telenor,norway,4g,good,56394.04439727055,38839.69635012039,117.16494887999184
1700591939,telenor,norway,4g,good,36495.06509352902,29350.48526636475,106.90999349733846
1700591945,telenor,norway,4g,good,54251.70970408545,15543.39803176852,152.9614568259496
1700591951,telenor,norway,4g,good,37796.95804772329,26017.27459658392,102.42990607942721
1700591957,telenor,norway,4g,good,46913.89169955901,21525.655999224888,57.59697854813329
1700591963,telenor,norway,4g,good,41387.20960486556,10733.692860818208,80.63525275700258
1700591969,telenor,norway,4g,good,25124.855015049412,9489.271031549917,129.54853435301592
1700591975,telenor,norway,4g,good,9474.31853073458,10895.9070081598,196.01862732618136
1700591981,telenor,norway,4g,good,51199.43651129104,6504.3675342705765,425.99464916733575
1700591987,telenor,norway,4g,good,51360.89012838759,41904.48803731922,56.24538436276396
1700591993,telenor,norway,4g,good,12597.353565621677,8820.26995709525,180.24895488806217
1700591999,telenor,norway,4g,good,37838.232166115515,15306.718823295172,47.35198066071942
1700592005,telenor,norway,4g,good,81379.5647736866,18849.71591678744,74.59946057306614
1700592011,telenor,norway,4g,good,61879.3832681986,16043.567716182806,67.7150981376749
1700592017,telenor,norway,4g,good,20496.95690310034,6803.52174636258,136.23410391932808
1700592023,telenor,norway,4g,good,6618.1141376576015,5238.240486157686,175.9251811987163
1700592029,telenor,norway,4g,good,67022.26295096838,6622.396988578729,91.28735707755317
1700592035,telenor,norway,4g,good,3641.056088447542,9566.673062738468,45.35566570410734
1700592041,telenor,norway,4g,good,5652.849634617893,17539.219289098157,94.8553674622226
1700592047,telenor,norway,4g,good,46483.903431155915,18266.744087636846,135.07477889260613
1700592053,telenor,norway,4g,good,6977.031864214748,2585.0072504045565,154.959548558354
1700592059,telenor,norway,4g,good,40305.95846404094,26378.704792520875,86.26081677909514
1700592065,telenor,norway,4g,good,1670.2645546206902,2798.608278900233,96.54142893894911
1700592071,telenor,norway,4g,good,34191.51164532858,2467.154776387105,70.5099675773885
1700592077,telenor,norway,4g,good,12777.57854799438,13861.768839301525,70.29838310655434
1700592083,telenor,norway,4g,good,30629.904422596286,22940.95365333817,94.29378957225363
1700592089,telenor,norway,4g,good,469.46790665979245,2588.2403098682616,46.645752312166756
1700592095,telenor,norway,4g,good,32407.43204659056,19902.812238172166,113.56517307636442
1700592101,telenor,norway,4g,good,22104.982348402584,17152.21936275538,129.69470243039677
1700592107,telenor,norway,4g,good,41465.66891157025,6702.13670073612,121.2738299581352
1700592113,telenor,norway,4g,good,13883.077606372197,5250.841262379882,72.15833439693776
1700592119,telenor,norway,4g,good,6894.219353536117,5267.14219076762,212.31577123981484
1700592125,telenor,norway,4g,good,22623.030165179243,1318.817303044956,151.38012254748918
1700592131,telenor,norway,4g,good,23581.145787588164,17087.021654003594,147.03745183389992
1700592137,telenor,norway,4g,good,22744.706263670323,14750.920377189572,151.5108381168545
1700592143,telenor,norway,4g,good,18282.518462376614,14091.35509304311,72.703107529924
1700592149,telenor,norway,4g,good,22836.308902887424,9021.086535388911,25.302986037241208
1700592155,telenor,norway,4g,good,79157.15084864643,42385.47678045125,297.0024932124558
1700592161,telenor,norway,4g,good,58702.620744168795,46997.12002925,172.5600583680932
1700592167,telenor,norway,4g,good,97208.57332393505,46857.31940510875,66.29223805968432
1700592173,telenor,norway,4g,good,90262.04871542881,15577.831474501843,89.70663762264255
1700592179,telenor,norway,4g,good,56204.414019479875,31156.388197710065,68.37532222919455
1700592185,telenor,norway,4g,good,37860.78498254815,23179.410997677995,110.33165556025541
1700592191,telenor,norway,4g,good,87655.90409814917,9485.212851572587,143.3107501332658
1700592197,telenor,norway,4g,good,31067.001943455183,6134.162856626703,107.75701030214678
1700592203,telenor,norway,4g,good,67325.63639432163,32624.022146124233,69.48856337050297
1700592209,telenor,norway,4g,good,14242.093403954808,9304.073681593483,72.52790491524513
1700592215,telenor,norway,4g,good,126814.69532919266,31015.595182095647,142.0321488806166
1700592221,telenor,norway,4g,good,117286.59325735105,9601.390596569636,39.45204927782004
1700592227,telenor,norway,4g,good,18908.923605244072,1812.5599898619776,95.21048821990634
1700592233,telenor,norway,4g,good,15471.715224440763,3876.9442807618834,123.23653367326995
1700592239,telenor,norway,4g,good,52352.87203786498,22444.092364487595,102.37180178049542
1700592245,telenor,norway,4g,good,6375.118365144807,4354.333677901564,77.49933116961077
1700592251,telenor,norway,4g,good,88911.01668064749,55708.35167072898,109.73645368953633
1700592257,telenor,norway,4g,good,32608.933214494493,26428.0587527018,144.85963519761427
1700592263,telenor,norway,4g,good,30214.53282259859,44029.25033012565,36.22808792957974
1700592269,telenor,norway,4g,good,28284.425876958572,15388.329527313308,75.53639744005243
1700592275,telenor,norway,4g,good,68969.59214893496,10076.094470934378,183.0409990266515
1700592281,telenor,norway,4g,good,19499.566374509934,3741.1893146878006,71.79767933845581
1700592287,telenor,norway,4g,good,49351.4483479397,26175.863547977282,80.41459471023282
1700592293,telenor,norway,4g,good,38828.06079752185,15146.848784624237,90.17486185104929
1700592299,telenor,norway,4g,good,35534.16880420343,36164.80515864764,54.53819890365794
1700592305,telenor,norway,4g,good,89076.85197441283,29745.22770355145,64.82847927014889
1700592311,telenor,norway,4g,good,93247.6752079729,23811.282021175353,85.12482781627021
1700592317,telenor,norway,4g,good,83855.04071675018,38407.300476011835,57.52335233532426
1700592323,telenor,norway,4g,good,49606.53852775166,15265.497730808516,183.66540790751108
1700592329,telenor,norway,4g,good,18472.497130354084,12861.289934761317,114.2760235505136
1700592335,telenor,norway,4g,good,48853.99432409409,19107.499170971565,134.972146650623
1700592341,telenor,norway,4g,good,31473.710255930186,17346.124111476907,111.3457080036638
1700592347,telenor,norway,4g,good,78810.50613921905,24359.271350882547,83.10161607204385
1700592353,telenor,norway,4g,good,50393.82016638494,41380.229194004496,55.8494227602192
1700592359,telenor,norway,4g,good,83020.62196119415,39229.00369990273,87.43151805517499
1700592365,telenor,norway,4g,good,60146.3574024704,8676.705045733908,99.20686140338844
1700592371,telenor,norway,4g,good,98144.95608776448,47882.89666134235,127.53162559534934
1700592377,telenor,norway,4g,good,1063.2272953852641,4248.806237478288,137.76580260356917
1700592383,telenor,norway,4g,good,86916.11283292944,21168.21192781404,94.90772604759293
1700592389,telenor,norway,4g,good,78127.81378246035,43830.18208038152,196.6689130476684
1700592395,telenor,norway,4g,good,24179.222944769514,10020.824826204269,54.14881030253794
1700592401,telenor,norway,4g,good,11214.733848703516,18763.75512447443,52.31944261274665
1700592407,telenor,norway,4g,good,39362.2685579553,24485.134011470636,66.82658614852896
1700592413,telenor,norway,4g,good,108786.04679469162,8527.265831006307,67.47724944655998
1700592419,telenor,norway,4g,good,11918.080246414913,19766.391458301096,70.06486851911798
1700592425,telenor,norway,4g,good,53751.9876946931,32240.939056008963,39.687915066707596
1700592431,telenor,norway,4g,good,45065.0838072506,9286.914769713068,120.56653594601484
1700592437,telenor,norway,4g,good,51137.61020112157,50586.4613223763,199.6190172638843
1700592443,telenor,norway,4g,good,11452.042120477576,10191.145333911076,93.72655629767816
1700592449,telenor,norway,4g,good,8327.566673986066,12106.810727740962,200.29177328557765
1700592455,telenor,norway,4g,good,88174.96448872647,45469.562177490996,89.99738347586045
1700592461,telenor,norway,4g,good,45963.92298553411,25849.31570384807,130.21921021152704
1700592467,telenor,norway,4g,good,92678.28466850227,46663.68802137712,61.488478935994046
1700592473,telenor,norway,4g,good,56459.88471638774,7119.335899680832,103.78746423804583
1700592479,telenor,norway,4g,good,27054.254883236878,17559.380871901856,108.08748000173865
1700592485,telenor,norway,4g,good,14812.071638546837,11954.32325619269,331.0825118928641
1700592491,telenor,norway,4g,good,81567.12807503754,40785.819203610976,67.3351419808235
1700592497,telenor,norway,4g,good,65223.1950109131,32729.97963496778,46.22401579874627
1700592503,telenor,norway,4g,good,69948.40779875252,11085.744559083412,149.12765629026217
1700592509,telenor,norway,4g,good,9551.34628420957,6959.178258601911,91.69958097807353
1700592515,telenor,norway,4g,good,78693.31939235464,25836.22270832567,109.23187837603143
1700592521,telenor,norway,4g,good,90836.80293920253,15608.928336789952,94.09617961669574
1700592527,telenor,norway,4g,good,17119.328111851566,16709.257751636458,172.67366949015627
1700592533,telenor,norway,4g,good,78384.67185052717,18629.946870247863,109.7700415076197
1700592539,telenor,norway,4g,good,99231.31054096388,40804.60566687319,97.96868964092086
1700592545,telenor,norway,4g,good,62078.958610891605,28422.473389335682,58.18416915221446
1700592551,telenor,norway,4g,good,54511.31527896202,21428.27331674464,130.0540517948588
1700592557,telenor,norway,4g,good,81951.02257069066,39225.6661350133,62.74126982280768
1700592563,telenor,norway,4g,good,40286.49161037666,8573.365963443717,67.77322634911467
1700592569,telenor,norway,4g,good,31716.925961051267,28030.2121563967,121.28593725405014
1700592575,telenor,norway,4g,good,146034.09091259819,18976.974110773426,137.4301975710493
1700592581,telenor,norway,4g,good,71973.91369074634,17730.71938773495,51.45784768367899
1700592587,telenor,norway,4g,good,26159.473319823875,15138.904090938833,82.54619796477483
1700592593,telenor,norway,4g,good,47689.397175010934,10885.206495631284,64.80071038518408
1700592599,telenor,norway,4g,good,133927.5168681159,46519.0895937752,222.0602401423675
1700592605,telenor,norway,4g,good,13716.343787056909,8552.1048488557,100.97885597482765
1700592611,telenor,norway,4g,good,8441.56382843696,2059.323371631442,167.6432071124042
1700592617,telenor,norway,4g,good,54449.26386157214,12930.962435620917,60.80251171924833
1700592623,telenor,norway,4g,good,46621.597169085544,7608.350797887505,67.49227629984708
1700592629,telenor,norway,4g,good,24202.36491081158,21711.096069239495,162.688623959813
1700592635,telenor,norway,4g,good,44141.98856858201,15253.02865625546,57.2012071192711
1700592641,telenor,norway,4g,good,41222.881780695905,4237.089530247018,111.28525873649961
1700592647,telenor,norway,4g,good,13699.670196094963,8203.008553662476,85.91343271897021
1700592653,telenor,norway,4g,good,89992.15831829605,39080.110503766366,83.9744003003033
1700592659,telenor,norway,4g,good,7283.922320756801,498.43607217415274,73.08673325905197
1700592665,telenor,norway,4g,good,28698.720109730893,22311.66125297014,99.66227968985875
1700592671,telenor,norway,4g,good,78767.28814008473,52652.24272967813,33.510095628406155
1700592677,telenor,norway,4g,good,67521.37405937747,16534.507250990784,150.44120738949354
1700592683,telenor,norway,4g,good,5921.749121461752,18717.87895161206,181.40409263768677
1700592689,telenor,norway,4g,good,1393.830283315113,4608.739779818375,81.12691522871579
1700592695,telenor,norway,4g,good,10863.730190433083,6746.798761668209,139.75875986085862
1700592701,telenor,norway,4g,good,33495.02929816988,12436.136497034879,61.930752399996585
1700592707,telenor,norway,4g,good,34622.26890213359,13618.780413755965,67.54142540083672
1700592713,telenor,norway,4g,good,21013.6303789856,18098.354390551885,50.41153229209278
1700592719,telenor,norway,4g,good,66066.66550392177,35474.85093634909,61.09142515416498
1700592725,telenor,norway,4g,good,129507.43752281003,23986.01958727182,158.83603123503903
1700592731,telenor,norway,4g,good,12484.971049717451,16955.2389676195,71.48870077963399
1700592737,telenor,norway,4g,good,32275.337470295744,11053.22967470494,83.57964948073906
1700592743,telenor,norway,4g,good,29983.044243926724,3968.848603356842,334.248812117501
1700592750,telenor,norway,4g,good,19078.01622808567,3041.027980368333,17.830998755904453
1700592756,telenor,norway,4g,good,63779.77878535107,45010.768109235665,87.86769435843163
1700592762,telenor,norway,4g,good,31907.79068646394,38964.79136854345,58.701620488152074
1700592768,telenor,norway,4g,good,19249.420638535303,17665.32617204717,126.10173621467753
1700592774,telenor,norway,4g,good,41192.89085731104,23277.33675533118,75.66445398906305
1700592780,telenor,norway,4g,good,19478.752321252243,9180.173592367144,60.42661842505539
1700592786,telenor,norway,4g,good,19953.674735440003,7661.3572509109845,103.41707702495755
1700592792,telenor,norway,4g,good,52681.609172622855,14710.71465030737,226.17426439962654
1700592798,telenor,norway,4g,good,56159.49885378234,19358.776396709396,109.70374037317261
1700592804,telenor,norway,4g,good,80540.98666679287,33754.3619730191,41.76299462012226
1700592810,telenor,norway,4g,good,69592.1494790328,15514.603651393274,39.346601408533125
1700592816,telenor,norway,4g,good,67078.30274956119,11774.863042443994,75.5874125074245
